id,orden,palabra,valoracion,etiqueta
#縉OMBRE?,2,Disfrute,10,Control
#縉OMBRE?,3,Vinculos,10,Sociedad
#縉OMBRE?,4,Poder,10,Control
#縉OMBRE?,5,Ignorancia,1,Control
#縉OMBRE?,1,Delfos,9,Tecnolog韆
#縉OMBRE?,2,Disfrute,10,Control
#縉OMBRE?,3,Vinculos,10,Sociedad
#縉OMBRE?,4,Poder,10,Control
#縉OMBRE?,5,Ignorancia,1,Control
#縉OMBRE?,1,Ventaja,10,Automatizaci髇
#縉OMBRE?,2,Necesario,9,Automatizaci髇
#縉OMBRE?,3,Ignorancia,3,Control
#縉OMBRE?,4,Mente,5,Inteligencia Artificial
#縉OMBRE?,5,Esfuerzo,7,Automatizaci髇
#縉OMBRE?,1,verdad,10,Informaci髇
#縉OMBRE?,2,poder,5,Control
#縉OMBRE?,3,ciencia,7,Tecnolog韆
#縉OMBRE?,4,estudio,9,Educaci髇
#縉OMBRE?,5,realidad,5,Informaci髇
#縉OMBRE?,1,Innovaci贸n,10,Tecnolog韆
#縉OMBRE?,2,Desempleo,2,Incertidumbre
#縉OMBRE?,3,Acotada,5,Incertidumbre
#縉OMBRE?,4,Peligro,3,Privacidad
#縉OMBRE?,5,Inevitable,5,Control
#縉OMBRE?,1,Comodidad ,5,Control
#縉OMBRE?,2,Confort ,5,Control
#縉OMBRE?,3,Computadora ,5,Tecnolog韆
#縉OMBRE?,4,Facilita,8,Automatizaci髇
#縉OMBRE?,5,Dificulta,2,Incertidumbre
#縉OMBRE?,1,Informatica,5,Tecnolog韆
#縉OMBRE?,2,N煤mero ,6,Informaci髇
#縉OMBRE?,3,Estudio ,10,Informaci髇
#縉OMBRE?,4,Gr谩ficos ,6,Informaci髇
#縉OMBRE?,5,Escalas ,3,Tecnolog韆
#縉OMBRE?,1,An谩lisis,7,Tecnolog韆
#縉OMBRE?,2,Estad铆stica,9,Informaci髇
#縉OMBRE?,3,Procesamiento de informaci贸n,6,Informaci髇
#縉OMBRE?,4,Charla TED,8,Sociedad
#縉OMBRE?,5,Abstracci贸n,5,Inteligencia Artificial
#縉OMBRE?,1,Tecnolog铆a,5,Tecnolog韆
#縉OMBRE?,2,Control social,0,Control
#縉OMBRE?,3,Estad铆stica,5,Informaci髇
#縉OMBRE?,4,Informaci贸n,10,Informaci髇
#縉OMBRE?,5,Investigaci贸n,10,Medios
#縉OMBRE?,1,Crecimiento,10,Automatizaci髇
#縉OMBRE?,2,Adquirir,10,Control
#縉OMBRE?,3,Lectura,10,Informaci髇
#縉OMBRE?,4,Informarse,10,Informaci髇
#縉OMBRE?,5,Tiempo,5,Tecnolog韆
#縉OMBRE?,1,Informaci贸n ,10,Informaci髇
#縉OMBRE?,2,Tecnolog铆a ,10,Tecnolog韆
#縉OMBRE?,3,Sistemas ,10,Tecnolog韆
#縉OMBRE?,4,Computadora,5,Tecnolog韆
#縉OMBRE?,5,Freaks ,2,Sociedad
#縉OMBRE?,1,Estudio,0,Educaci髇
#縉OMBRE?,2,Cultura,0,Sociedad
#縉OMBRE?,3,Profesores,0,Educaci髇
#縉OMBRE?,4,Estudiantes ,0,Educaci髇
#縉OMBRE?,5,Pol铆tica ,0,Sociedad
#縉OMBRE?,1,Homovidens,7,Sociedad
#縉OMBRE?,2,Revoluci贸n,9,Sociedad
#縉OMBRE?,3,Virtual,9,Informaci髇
#縉OMBRE?,4,Analogico,8,Informaci髇
#縉OMBRE?,5,Digital,7,Informaci髇
-M2MhH9dvNq3RzShEV1-,1,Informaci贸n,10,Informaci髇
-M2MhH9dvNq3RzShEV1-,2,Accionables,9,Informaci髇
-M2MhH9dvNq3RzShEV1-,3,Tecnolog铆a,5,Tecnolog韆
-M2MhH9dvNq3RzShEV1-,4,Ciencia,9,Tecnolog韆
-M2MhH9dvNq3RzShEV1-,5,Estad铆stica,9,Informaci髇
#縉OMBRE?,1,Data,8,Informaci髇
#縉OMBRE?,2,Tecnologia,8,Tecnolog韆
#縉OMBRE?,3,Futuro,10,Tecnolog韆
#縉OMBRE?,4,Joven,9,Sociedad
#縉OMBRE?,5,Noticiero,9,Medios
#縉OMBRE?,1,Informaci贸n,7,Informaci髇
#縉OMBRE?,2,Tecnolog铆a,6,Tecnolog韆
#縉OMBRE?,3,Avance,6,Tecnolog韆
#縉OMBRE?,4,Datos,7,Informaci髇
#縉OMBRE?,5,Velocidad,7,Automatizaci髇
#縉OMBRE?,1,Conocimiento ,10,Inteligencia Artificial
#縉OMBRE?,2,Tecnologia,8,Tecnolog韆
#縉OMBRE?,3,Aprendizaje ,10,Educaci髇
#縉OMBRE?,4,Sistematizaci贸n ,8,Automatizaci髇
#縉OMBRE?,5,Redes,5,Tecnolog韆
#縉OMBRE?,1,Informatica ,10,Tecnolog韆
#縉OMBRE?,2,Falta de educacion sobre el tema,3,Incertidumbre
#縉OMBRE?,3,Salida laboral,10,Automatizaci髇
#縉OMBRE?,4,Futuro,8,Tecnolog韆
#縉OMBRE?,5,Mayor exactitud en investigaciones,10,
#縉OMBRE?,1,China,3,Control
#縉OMBRE?,2,Crecimiento Economico,9,Tecnolog韆
#縉OMBRE?,3,M谩s tiempo de ocio,10,Automatizaci髇
#縉OMBRE?,4,Desempleo,1,Incertidumbre
#縉OMBRE?,5,Inmoralidad,4,Sociedad
#縉OMBRE?,1,Tecnologia,10,Tecnolog韆
#縉OMBRE?,2,Avance,7,Tecnolog韆
#縉OMBRE?,3,Futuro,6,Tecnolog韆
#縉OMBRE?,4,Acceso,6,
#縉OMBRE?,5,Estudio,8,Educaci髇
#縉OMBRE?,1,Futuro cercano,7,
#縉OMBRE?,2,Robots,6,
#縉OMBRE?,3,Tecnolog铆a avanzaba,10,
#縉OMBRE?,4,Todo computarizado,4,
#縉OMBRE?,5,Educaci贸n a distancia,10,
#縉OMBRE?,1,Robots,6,
#縉OMBRE?,2,M谩quinas,6,
#縉OMBRE?,3,Evoluci贸n,7,
#縉OMBRE?,4,Salud y bienestar,10,Sociedad
#縉OMBRE?,5,Avance tecnol贸gico,7,Automatizaci髇
#縉OMBRE?,1,Ciencia,9,Tecnolog韆
#縉OMBRE?,2,Mente,8,Inteligencia Artificial
#縉OMBRE?,3,Robots,6,
#縉OMBRE?,4,Trabajo,3,Sociedad
#縉OMBRE?,5,Avance,8,Tecnolog韆
#縉OMBRE?,1,Internet,5,
#縉OMBRE?,2,Control,1,Control
#縉OMBRE?,3,Gobiernos,4,Control
#縉OMBRE?,4,Facebook,5,Sociedad
#縉OMBRE?,5,Estadisticas,6,Informaci髇
#縉OMBRE?,1,Poder,10,Control
#縉OMBRE?,2,Compasi贸n,7,
#縉OMBRE?,3,Paciencia ,10,
#縉OMBRE?,4,Posibilidad,10,
#縉OMBRE?,5,Habilidad,10,
-M2V1BzPUKVf3m0EIIQ-,1,An谩lisis ,10,Informaci髇
-M2V1BzPUKVf3m0EIIQ-,2,Datos,10,Informaci髇
-M2V1BzPUKVf3m0EIIQ-,3,Excel,10,
-M2V1BzPUKVf3m0EIIQ-,4,Horas,5,
-M2V1BzPUKVf3m0EIIQ-,5,Conectividad ,5,Automatizaci髇
#縉OMBRE?,1,Informaci贸n,5,Informaci髇
#縉OMBRE?,2,Estad铆sticas,5,
#縉OMBRE?,3,Algoritmos,3,
#縉OMBRE?,4,Manipulaci贸n,3,
#縉OMBRE?,5,Conectividad,5,
#縉OMBRE?,1,Tecnologias,9,
#縉OMBRE?,2,Robotica,9,
#縉OMBRE?,3,Internet,8,
#縉OMBRE?,4,Computadorizado,9,
#縉OMBRE?,5,A distancia,9,
#縉OMBRE?,1,Robots,10,
#縉OMBRE?,2,Circuitos,10,
#縉OMBRE?,3,Algoritmos,10,
#縉OMBRE?,4,Programas,10,
#縉OMBRE?,5,Neurociencia,10,
#縉OMBRE?,1,Analisis,10,
#縉OMBRE?,2,Informaci贸n,10,Informaci髇
#縉OMBRE?,3,Modelos,10,
#縉OMBRE?,4,Prediccion,10,
#縉OMBRE?,5,Programaci贸n,10,
#縉OMBRE?,1,Estad铆stica,5,Informaci髇
#縉OMBRE?,2,Blockchain,5,
#縉OMBRE?,3,Big data,5,
#縉OMBRE?,4,Privacidad,2,
#縉OMBRE?,5,Inteligencia artificial,5,
#縉OMBRE?,6,Programaci贸n,5,
#縉OMBRE?,1,Informaci贸n,6,Informaci髇
#縉OMBRE?,2,Estudio,7,Educaci髇
#縉OMBRE?,3,Aprendizaje,6,Educaci髇
#縉OMBRE?,4,Desarrollo,7,Tecnolog韆
#縉OMBRE?,5,Capacitaci贸n,6,
#縉OMBRE?,1,Dataso,10,
#縉OMBRE?,2,Ayuda,10,
#縉OMBRE?,3,Importante,9,
#縉OMBRE?,4,...,5,
#縉OMBRE?,5,...,5,
#縉OMBRE?,1,Disciplina,10,
#縉OMBRE?,2,Informaci贸n,5,Informaci髇
#縉OMBRE?,3,Estad铆stica,5,Informaci髇
#縉OMBRE?,4,Objeto,5,
#縉OMBRE?,5,M茅todo,5,
-M2YdUBFrDxYvSG9E7X-,1,Manipulaci贸n,0,
-M2YdUBFrDxYvSG9E7X-,2,Control,0,Control
-M2YdUBFrDxYvSG9E7X-,3,Resoluci贸n de problemas,5,
-M2YdUBFrDxYvSG9E7X-,4,M煤ltiples est铆mulos,2,
-M2YdUBFrDxYvSG9E7X-,5,Eficacia,2,
#縉OMBRE?,1,Ciencia ,10,
#縉OMBRE?,2,Investigar ,10,
#縉OMBRE?,3,Aprender ,10,
#縉OMBRE?,4,Ense帽ar ,10,
#縉OMBRE?,5,Experimentar ,10,
#縉OMBRE?,1,Desarrollo,10,Tecnolog韆
#縉OMBRE?,2,Rob贸tica,10,
#縉OMBRE?,3,Trabajo,5,Sociedad
#縉OMBRE?,4,Programacion,10,
#縉OMBRE?,5,Comunicaci贸n,0,
#縉OMBRE?,1,Ense帽anza,10,
#縉OMBRE?,2,Pensar,10,
#縉OMBRE?,3,Estudio,10,Educaci髇
#縉OMBRE?,4,Leer,10,
#縉OMBRE?,5,Poder,5,Control
#縉OMBRE?,1,Capacitaci贸n,10,
#縉OMBRE?,2,Tecnol贸gicos,10,
#縉OMBRE?,3,Universidad,10,
#縉OMBRE?,4,Educaci贸n,10,
#縉OMBRE?,5,Compartir,10,
#縉OMBRE?,1,Grande ,10,
#縉OMBRE?,2,Datos ,10,
#縉OMBRE?,3,Informativos ,10,
#縉OMBRE?,4,Engloba,10,
#縉OMBRE?,5,Todo,10,
#縉OMBRE?,6,Beneficio,9,
#縉OMBRE?,1,Calidad de vida ,8,
#縉OMBRE?,2,Falta de intimidad ,3,
#縉OMBRE?,3,Democratizaci贸n del conocimiento,10,
#縉OMBRE?,4,P茅rdida de fuentes de trabajo ,2,
#縉OMBRE?,5,Avance tecnol贸gico ,5,
#縉OMBRE?,1,Saber,10,
#縉OMBRE?,2,Explotaci贸n,10,
#縉OMBRE?,3,Diverso,10,
#縉OMBRE?,4,Acad茅mico,0,
#縉OMBRE?,5,Elitista,0,
#縉OMBRE?,1,Manipulacion,0,
#縉OMBRE?,2,Vulnerabilidad,0,
#縉OMBRE?,3,Encuesta,5,
#縉OMBRE?,4,Masificacion,0,
#縉OMBRE?,5,Armado,0,
#縉OMBRE?,1,Tecnologia ,8,
#縉OMBRE?,2,Avanzar,5,
#縉OMBRE?,3,Pensar,10,
#縉OMBRE?,4,Futuro,8,Tecnolog韆
#縉OMBRE?,5,Incertidumbre,8,Incertidumbre
#縉OMBRE?,1,Robotica,2,
#縉OMBRE?,2,Informatica,0,Tecnolog韆
#縉OMBRE?,3,Sistemas,3,
#縉OMBRE?,4,Programacion,2,
#縉OMBRE?,5,Circuitos,3,
#縉OMBRE?,6,Registros,2,
#縉OMBRE?,1,Precision,10,
#縉OMBRE?,2,Tics,10,
#縉OMBRE?,3,Eficiencia,10,
#縉OMBRE?,4,Informaci贸n,10,Informaci髇
#縉OMBRE?,5,Programaci贸n,10,
#縉OMBRE?,1,Robots,6,
#縉OMBRE?,2,Realidad virtual,7,
#縉OMBRE?,3,Celular,2,
#縉OMBRE?,4,Disminuci贸n de la creatividad,1,
#縉OMBRE?,5,Poca interacci贸n social,2,
#縉OMBRE?,1,Prototipos,5,
#縉OMBRE?,2,Computadoras,5,
#縉OMBRE?,3,Algoritmos,5,
#縉OMBRE?,4,Cibernetica,5,
#縉OMBRE?,5,Neurociencia,5,
#縉OMBRE?,1,Robots,4,
#縉OMBRE?,2,Computadora,4,Tecnolog韆
#縉OMBRE?,3,Apps,5,
#縉OMBRE?,4,Celular,5,
#縉OMBRE?,5,Holograma,5,
#縉OMBRE?,1,De mentira,8,
#縉OMBRE?,2,Creada,5,
#縉OMBRE?,3,Robot,8,Inteligencia Artificial
#縉OMBRE?,4,Mucha,0,
#縉OMBRE?,5,Ut贸pica,5,
#縉OMBRE?,1,Estad铆sticas,9,
#縉OMBRE?,2,Cuantitativo,4,
#縉OMBRE?,3,Digital,9,Informaci髇
#縉OMBRE?,4,Posthumano,3,
#縉OMBRE?,5,Interpretaci贸n,7,
#縉OMBRE?,1,Avance,10,Tecnolog韆
#縉OMBRE?,2,Tecnol贸gico,10,
#縉OMBRE?,3,Conexi贸n,7,
#縉OMBRE?,4,Mundial,10,
#縉OMBRE?,5,Utilidad,10,
#縉OMBRE?,1,Informaci贸n ,0,Informaci髇
#縉OMBRE?,2,Base de datos ,0,
#縉OMBRE?,3,Accesibilidad ,0,
#縉OMBRE?,4,Comunidad ,0,
#縉OMBRE?,5,Gran archivo ,0,
#縉OMBRE?,1,Robot,6,Inteligencia Artificial
#縉OMBRE?,2,Facilidad ,9,
#縉OMBRE?,3,Futuro,7,Tecnolog韆
#縉OMBRE?,4,Datos,7,Informaci髇
#縉OMBRE?,5,Sencillez,8,
#縉OMBRE?,1,computaci贸n,8,
#縉OMBRE?,2,matem谩tica,8,
#縉OMBRE?,3,estad铆stica,8,Informaci髇
#縉OMBRE?,4,ciencia,8,Tecnolog韆
#縉OMBRE?,5,gr谩ficos,8,
#縉OMBRE?,1,Exceso de informaci贸n,2,
#縉OMBRE?,2,Acoso medi谩tico,0,
#縉OMBRE?,3,Manipulaci贸n de informaci贸n,2,
#縉OMBRE?,4,Posmodernidad,2,
#縉OMBRE?,5,Libre acceso,8,
#縉OMBRE?,1,Inform谩tica,5,
#縉OMBRE?,2,Tecnolog铆a,8,Tecnolog韆
#縉OMBRE?,3,Informaci贸n,10,Informaci髇
#縉OMBRE?,4,Desinformaci贸n,0,
#縉OMBRE?,5,Internet,7,
#縉OMBRE?,1,Informaci贸n,10,Informaci髇
#縉OMBRE?,2,Global,10,
#縉OMBRE?,3,Buscador,10,
#縉OMBRE?,4,Ordenador,10,
#縉OMBRE?,5,Gratis,10,
#縉OMBRE?,1,Sobreinformaci贸n,1,
#縉OMBRE?,2,Invasi贸n de la privacidad,0,
#縉OMBRE?,3,Globalizaci贸n,5,
#縉OMBRE?,4,Acceso a informaci贸n,8,
#縉OMBRE?,5,Manipulaci贸n de datos sensibles,0,
#縉OMBRE?,1,Muchos datos,10,
#縉OMBRE?,2,Desborde,2,
#縉OMBRE?,3,Virtualidad,8,
#縉OMBRE?,4,Usos de datos,2,
#縉OMBRE?,5,An谩lisis,10,Tecnolog韆
#縉OMBRE?,1,Programaci贸n,8,
#縉OMBRE?,2,Rob贸tica ,3,
#縉OMBRE?,3,Modelos predictivos,10,
#縉OMBRE?,4,Ciencia de datos,10,
#縉OMBRE?,5,An谩lisis,10,Tecnolog韆
#縉OMBRE?,1,Python,10,
#縉OMBRE?,2,Lenguaje natural ,10,
#縉OMBRE?,3,Lenguaje R,10,
#縉OMBRE?,4,Procesamiento de Im谩genes ,10,
#縉OMBRE?,5,Data mining,10,
#縉OMBRE?,6,Datasets,8,
#縉OMBRE?,1,Software,0,
#縉OMBRE?,2,Internet,5,
#縉OMBRE?,3,Acceso,5,
#縉OMBRE?,4,Conocimientos,5,
#縉OMBRE?,5,Dispositivos,5,
#縉OMBRE?,1,Datos,4,Informaci髇
#縉OMBRE?,2,Internet,8,
#縉OMBRE?,3,Web,3,
#縉OMBRE?,4,Aplicaciones,7,
#縉OMBRE?,5,Informaci贸n,3,Informaci髇
#縉OMBRE?,1,Banco,3,
#縉OMBRE?,2,Datos,8,Informaci髇
#縉OMBRE?,3,C贸digos,9,
#縉OMBRE?,4,Logaritmos,7,
#縉OMBRE?,5,Informaci贸n,7,Informaci髇
#縉OMBRE?,1,M谩quina de Turing,5,
#縉OMBRE?,2,Libre albedr铆o,8,
#縉OMBRE?,3,Velocidad,5,Automatizaci髇
#縉OMBRE?,4,Utilidad,7,
#縉OMBRE?,5,Desarrollo cient铆fico,9,
#縉OMBRE?,1,Informaci贸n,10,Informaci髇
#縉OMBRE?,2,Globalizaci贸n,6,
#縉OMBRE?,3,Cadena,5,
#縉OMBRE?,4,Masivo,4,
#縉OMBRE?,5,Empresa,3,
#縉OMBRE?,1,Skynet,0,Inteligencia Artificial
#縉OMBRE?,2,Accesibilidad,10,
#縉OMBRE?,3,Sustentabilidad,10,
#縉OMBRE?,4,T-1000,0,
#縉OMBRE?,5,Comodidad,10,
#縉OMBRE?,1,Ciencia,10,Tecnolog韆
#縉OMBRE?,2,Tecnolog铆a ,10,Tecnolog韆
#縉OMBRE?,3,Procedimiento ,10,
#縉OMBRE?,4,Educaci贸n ,10,
#縉OMBRE?,5,Investigaci贸n ,10,
#縉OMBRE?,1,Informaci贸n,10,Informaci髇
#縉OMBRE?,2,Masivo,4,
#縉OMBRE?,3,Invasivo,0,
#縉OMBRE?,4,Sistem谩tico,5,
#縉OMBRE?,5,Estad铆stica,7,Informaci髇
#縉OMBRE?,1,Informaci贸n ,10,Informaci髇
#縉OMBRE?,2,Descifrar ,8,
#縉OMBRE?,3,Interacci贸n ,10,
#縉OMBRE?,4,Construcci贸n ,9,
#縉OMBRE?,5,Socializaci贸n ,9,
-M2nzPpggxIe-XlaG5i-,1,Informaci贸n,9,Informaci髇
-M2nzPpggxIe-XlaG5i-,2,Estudio,10,Educaci髇
-M2nzPpggxIe-XlaG5i-,3,Conocimiento,10,
-M2nzPpggxIe-XlaG5i-,4,Apertura,10,
-M2nzPpggxIe-XlaG5i-,5,Posibilidades,10,
#縉OMBRE?,1,Datos ,5,
#縉OMBRE?,2,Grandes ,9,
#縉OMBRE?,3,Complejos ,5,
#縉OMBRE?,4,Requiere procesar ,6,
#縉OMBRE?,5,Por otros programas ,5,
#縉OMBRE?,1,redes neuronales,10,
#縉OMBRE?,2,big data,5,
#縉OMBRE?,3,falta de privacidad,0,
#縉OMBRE?,4,algoritmos,7,
#縉OMBRE?,5,autonomia computacional,5,
#縉OMBRE?,1,Poder,3,Control
#縉OMBRE?,2,Valor,10,
#縉OMBRE?,3,Paciencia,4,
#縉OMBRE?,4,Libertad,10,Sociedad
#縉OMBRE?,5,Amor,10,
#縉OMBRE?,1,libertad,10,Sociedad
#縉OMBRE?,2,saber,10,
#縉OMBRE?,3,generosidad,10,
#縉OMBRE?,4,ense帽aje,10,
#縉OMBRE?,5,comunicaci貌n,10,
#縉OMBRE?,6,v矛nculos,10,
#縉OMBRE?,7,construcci貌n,10,
#縉OMBRE?,1,internet,10,
#縉OMBRE?,2,datos,10,Informaci髇
#縉OMBRE?,3,programacion,10,
#縉OMBRE?,4,probabilidad,5,
#縉OMBRE?,5,procesamiento,5,
#縉OMBRE?,1,Robots,6,
#縉OMBRE?,2,Tecnolog铆a,10,Tecnolog韆
#縉OMBRE?,3,Futuro,7,Tecnolog韆
#縉OMBRE?,4,Informaci贸n,7,Informaci髇
#縉OMBRE?,5,Inseguridad,3,
#縉OMBRE?,1,Tiempo,7,Tecnolog韆
#縉OMBRE?,2,Formaci贸n ,7,
#縉OMBRE?,3,Pr谩ctica,10,
#縉OMBRE?,4,An谩lisis,10,Tecnolog韆
#縉OMBRE?,5,Observaci贸n,10,
#縉OMBRE?,1,Graficos,10,
#縉OMBRE?,2,estadisticas,10,Informaci髇
#縉OMBRE?,3,simple,10,
#縉OMBRE?,4,rapido,2,
#縉OMBRE?,5,resumen,6,
#縉OMBRE?,1,robots,7,
#縉OMBRE?,2,computadoras,10,
#縉OMBRE?,3,ciencia,10,Tecnolog韆
#縉OMBRE?,4,ingenieros,10,
#縉OMBRE?,5,programacion,7,
#縉OMBRE?,1,Datos ,5,
#縉OMBRE?,2,Informaci贸n ,5,Informaci髇
#縉OMBRE?,3,Recopilaci贸n ,5,
#縉OMBRE?,4,Procesamiento ,5,
#縉OMBRE?,5,Masivo ,5,
#縉OMBRE?,1,Robots,5,
#縉OMBRE?,2,No humanos,2,
#縉OMBRE?,3,Avance,7,Tecnolog韆
#縉OMBRE?,4,Mente propia,5,
#縉OMBRE?,5,Futuro,7,Tecnolog韆
#縉OMBRE?,1,Progreso ,10,
#縉OMBRE?,2,Eficiencia ,10,
#縉OMBRE?,3,Futuro,7,Tecnolog韆
#縉OMBRE?,4,Desconfianza,0,
#縉OMBRE?,5,Competencia,3,
#縉OMBRE?,1,Informaci贸n virtual,10,
#縉OMBRE?,2,Ciencia ciudadana,10,
#縉OMBRE?,3,Cooperatividad en la recolecci贸n de informaci贸n ,10,
#縉OMBRE?,4,Banco de datos d贸nde acceder el/la investigador/a,10,
#縉OMBRE?,5,Red,10,
#縉OMBRE?,1,Empresas,10,
#縉OMBRE?,2,Informacion,5,Informaci髇
#縉OMBRE?,3,BigData,10,
#縉OMBRE?,4,Futuro,10,Tecnolog韆
#縉OMBRE?,5,Analisis,10,
#縉OMBRE?,1,Poder de computo,8,
#縉OMBRE?,2,Big data,4,
#縉OMBRE?,3,privacidad,2,
#縉OMBRE?,4,eficiencia,10,
#縉OMBRE?,5,monopolio,2,
#縉OMBRE?,1,robot,5,Inteligencia Artificial
#縉OMBRE?,2,cerebro,7,
#縉OMBRE?,3,maquina,5,
#縉OMBRE?,4,dispositivo,5,
#縉OMBRE?,5,plata,5,
#縉OMBRE?,1,Robot,10,Inteligencia Artificial
#縉OMBRE?,2,Desempleo,0,Incertidumbre
#縉OMBRE?,3,Comodidad,10,
#縉OMBRE?,4,"Frialdad, deshumanizaci贸n",0,
#縉OMBRE?,5,Futuro,5,Tecnolog韆
#縉OMBRE?,1,Red Neuronal,10,
#縉OMBRE?,2,Aprendizaje Automatico,10,
#縉OMBRE?,3,Juegos de Mesa,10,
#縉OMBRE?,4,Matem谩tica,10,
#縉OMBRE?,5,Predicciones,10,
-M2pxDve7XtGts-7hv1K,1,Big data,5,
-M2pxDve7XtGts-7hv1K,2,Ciencias de la informaci贸n,10,
-M2pxDve7XtGts-7hv1K,3,Datos duros,5,
-M2pxDve7XtGts-7hv1K,4,Estad铆stica,5,Informaci髇
-M2pxDve7XtGts-7hv1K,5,Tics,8,
#縉OMBRE?,1,Robot,5,Inteligencia Artificial
#縉OMBRE?,2,Animado,8,
#縉OMBRE?,3,Aut贸mata,8,
#縉OMBRE?,4,Tecnolog铆a,10,Tecnolog韆
#縉OMBRE?,5,M谩quina,5,
#縉OMBRE?,1,Grandes datos,10,
#縉OMBRE?,2,Conocimiento ,10,Inteligencia Artificial
#縉OMBRE?,3,Exploracion,10,
#縉OMBRE?,4,Tecnolog铆a ,10,Tecnolog韆
#縉OMBRE?,5,Informaci贸n ,10,Informaci髇
#縉OMBRE?,1,Curso,8,
#縉OMBRE?,2,Poder,7,Control
#縉OMBRE?,3,Dinero,9,
#縉OMBRE?,4,Clases,10,
#縉OMBRE?,5,Tiempo,10,Tecnolog韆
#縉OMBRE?,6,Saber,10,
#縉OMBRE?,7,Adelanto,9,
#縉OMBRE?,1,Sabidur铆a,9,
#縉OMBRE?,2,Abarcar todo,3,
#縉OMBRE?,3,Poder,5,Control
#縉OMBRE?,4,Opini贸n propia,9,
#縉OMBRE?,5,Experiencia,9,
#縉OMBRE?,6,Placer,5,
#縉OMBRE?,7,Peligro,2,Privacidad
#縉OMBRE?,1,tremendo ,8,
#縉OMBRE?,2,dato,9,
#縉OMBRE?,3,poder,8,Control
#縉OMBRE?,4,dimensi贸n,8,
#縉OMBRE?,5,grande,8,
#縉OMBRE?,1,Machine learning,10,
#縉OMBRE?,2,Estadistica,9,
#縉OMBRE?,3,Programaci贸n,9,
#縉OMBRE?,4,Big Data,9,
#縉OMBRE?,5,Matem谩tica,10,
#縉OMBRE?,1,Problema,3,
#縉OMBRE?,2,Avance,7,Tecnolog韆
#縉OMBRE?,3,Automatizaci贸n,4,
#縉OMBRE?,4,Mejoras,9,
#縉OMBRE?,5,Cambio,5,
#縉OMBRE?,1,Corporacion,0,
#縉OMBRE?,2,Privacidad,10,
#縉OMBRE?,3,Vender,5,
#縉OMBRE?,4,Informacion,5,Informaci髇
#縉OMBRE?,5,Plata,4,
#縉OMBRE?,1,An谩lisis,10,Tecnolog韆
#縉OMBRE?,2,Investigaci贸n,10,Medios
#縉OMBRE?,3,Tecnologia,10,Tecnolog韆
